City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Noumea,NC,80.6,overcast clouds,-22.28,166.46,Hôtel Le Lagon
7,Rikitea,PF,71.69,overcast clouds,-23.12,-134.97,Pension Maro'i
13,Sao Filipe,CV,79.14,overcast clouds,14.9,-24.5,Tortuga B&B
16,Bouna,CI,72.82,overcast clouds,9.27,-3.0,Hotel Reserve
19,Ayorou,NE,75.42,clear sky,14.73,0.92,Hotel Amenokal
20,El Tigre,VE,76.6,scattered clouds,8.89,-64.25,Hotel Santa Cruz
23,Saint-Philippe,RE,80.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
34,Kilindoni,TZ,79.97,moderate rain,-7.91,39.67,Bustani B&B
37,Arraial Do Cabo,BR,71.96,overcast clouds,-22.97,-42.03,Pousada Porto Praia
42,Nieuw Amsterdam,SR,78.01,overcast clouds,5.88,-55.08,Hotel Stardust
46,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
47,Busselton,AU,75.99,broken clouds,-33.65,115.33,Observatory Guest House
51,Rodrigues Alves,BR,75.36,light rain,-7.74,-72.65,Pousada Aconchego
52,Tura,IN,78.57,clear sky,25.52,90.22,Hotel RIKMAN Continental
54,Wanning,CN,80.01,scattered clouds,18.8,110.4,Paradise Hotel
57,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
58,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
60,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Atuona,PF,77.54,light rain,-9.8,-139.03,Villa Enata
77,Hithadhoo,MV,84.43,few clouds,-0.6,73.08,Scoop Guest House
78,Boffa,GN,77.31,clear sky,10.17,-14.03,Hôtel Niara Belly
79,Tual,ID,83.03,overcast clouds,-5.67,132.75,Grand Vilia Hotel
83,Pailon,BO,78.8,smoke,-17.65,-62.75,Alojamiento pailon
88,Kavieng,PG,83.82,broken clouds,-2.57,150.8,Nusa Island Retreat
89,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
90,Bandarbeyla,SO,76.19,broken clouds,9.49,50.81,REER XOOSHLE GROUP
93,Naifaru,MV,84.15,light rain,5.44,73.37,Naifaru Residence Guest House
96,Caravelas,BR,73.92,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
100,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
101,Gombong,ID,73.99,light rain,-7.61,109.51,Grafika Hotel Dan Restoran
104,Hilo,US,75.2,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
106,Victoria,HK,80.01,broken clouds,22.29,114.16,Mini Hotel Central
108,Katsuura,JP,73.0,light rain,35.13,140.3,Katsuura Hotel Mikazuki
120,Butaritari,KI,81.7,broken clouds,3.07,172.79,Isles Sunset Lodge
123,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
125,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
126,Taunggyi,MM,74.89,clear sky,20.78,97.03,True Treasure Hotel
135,Voh,NC,79.39,few clouds,-20.97,164.7,Le gîte du Koniambo
136,Faanui,PF,79.05,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
138,Chateaubelair,VC,82.4,scattered clouds,13.28,-61.25,Richmond Vale Diving & Hiking Center
151,Hobyo,SO,80.53,overcast clouds,5.35,48.53,Osmani Hotel
154,Dezful,IR,71.58,overcast clouds,32.38,48.41,سالن پیرایش امید
158,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
167,Sinazongwe,ZM,82.53,clear sky,-17.26,27.46,Lakeview Lodge
169,Bengkulu,ID,84.9,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
171,Port Blair,IN,84.58,light rain,11.67,92.75,Fortune Resort Bay Island
182,Coari,BR,74.37,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
183,Talbahat,IN,76.66,clear sky,25.05,78.43,PWD Guest House
186,Cordoba,AR,73.0,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
190,Grand Gaube,MU,75.99,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
191,Inhambane,MZ,78.8,clear sky,-23.86,35.38,Oceano
199,Esperance,AU,77.0,few clouds,-33.87,121.9,Hospitality Esperance
208,Guanare,VE,73.38,overcast clouds,9.04,-69.74,Nuevo Hotel Coromoto
211,Barra Do Garcas,BR,74.48,light rain,-15.89,-52.26,Hotel Pousada Tropical
213,Hasaki,JP,72.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
215,Tagusao,PH,82.98,heavy intensity rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
220,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
223,Poum,NC,76.55,few clouds,-20.23,164.02,Gîte kajeon
224,Kavaratti,IN,84.2,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
232,Imbituba,BR,71.6,light rain,-28.24,-48.67,Praia Hotel Imbituba
236,Mahibadhoo,MV,84.07,overcast clouds,3.78,72.97,Omadhoo Inn
242,Bourail,NC,77.4,overcast clouds,-21.57,165.48,Nekweta
244,Mozarlandia,BR,77.2,overcast clouds,-14.74,-50.57,Hotel Santa Mônica
245,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
259,Acarau,BR,78.51,broken clouds,-2.89,-40.12,castelo pizzaria
262,Bonoua,CI,80.6,few clouds,5.27,-3.6,Hotel Bon Samaritian
266,Les Cayes,HT,78.03,light rain,18.2,-73.75,Villa Orphee
267,Vila Velha,BR,73.4,broken clouds,-20.33,-40.29,Hotel Vitória Palace
269,Senanga,ZM,75.58,broken clouds,-16.12,23.27,Christopher Nasilele House
270,Humaita,BR,74.35,scattered clouds,-7.51,-63.02,Corrêa Hotel
272,Namatanai,PG,84.61,scattered clouds,-3.67,152.43,Namatanai Hotel
275,Pangai,TO,78.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
281,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,Casa Tia Villa
286,Dothan,US,72.0,clear sky,31.22,-85.39,Courtyard by Marriott Dothan
287,Pansemal,IN,77.23,clear sky,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
288,Kampot,KH,84.2,scattered clouds,10.62,104.18,Champa Lodge
290,Phalodi,IN,81.39,clear sky,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
291,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
297,Richards Bay,ZA,72.55,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
301,Contamana,PE,77.09,broken clouds,-7.33,-75.02,Shiringal Touristic Park
303,Gizo,SB,84.67,light rain,-8.1,156.84,Imagination Island
304,Chumphon,TH,84.2,light rain,10.33,98.83,สกาน ห้วยท่อม
305,Andradina,BR,76.66,clear sky,-20.9,-51.38,Delta Hotel
310,Padang,ID,79.93,overcast clouds,-0.95,100.35,Mercure Padang
315,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
320,Nishihara,JP,80.6,mist,26.18,127.76,Minshuku Agaihama
325,Celestun,MX,78.42,scattered clouds,20.87,-90.4,Posada Lilia
326,Conceicao Da Barra,BR,73.76,clear sky,-18.59,-39.73,Cricaré Praia Hotel
330,Kulhudhuffushi,MV,84.06,light rain,6.62,73.07,Haajy Guest House 1
344,Manokwari,ID,83.97,light rain,-0.87,134.08,Swiss Belhotel Manokwari
347,Bubaque,GW,84.25,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
348,San Patricio,US,72.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
350,Airai,TL,82.27,broken clouds,-8.93,125.41,Juvinal Martin
354,Yeppoon,AU,78.8,scattered clouds,-23.13,150.73,Villa Mar Colina
355,Le Port,RE,80.6,clear sky,-20.94,55.29,Villa Maido
357,Khandbari,NP,73.85,clear sky,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
360,Pandan,PH,84.87,overcast clouds,14.05,124.17,Bonifacio Lodge
369,Kudahuvadhoo,MV,84.24,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
375,Bandar-E Lengeh,IR,78.8,mist,26.56,54.88,کافی نت پارس
376,Mayumba,GA,77.18,light rain,-3.43,10.66,LIKWALE LODGE
381,Nova Olimpia,BR,78.3,overcast clouds,-14.8,-57.29,Motel glamour
384,Alofi,NU,80.6,light rain,-19.06,-169.92,Taloa Heights
388,San Policarpo,PH,83.75,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
392,Atar,MR,81.07,few clouds,20.52,-13.05,Oumou Elghoura
393,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
399,Ewa Beach,US,82.0,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
406,Arawa,PG,82.9,light rain,-6.21,155.54,Coastline Guest House
408,Dingle,PH,83.84,scattered clouds,11.0,122.67,SEGAYA PROPERTY
414,Luziania,BR,73.4,moderate rain,-16.25,-47.95,HOTEL SARON
419,Farafangana,MG,75.31,clear sky,-22.82,47.83,Austral Hotel
423,Moju,BR,78.8,clear sky,-1.88,-48.77,HOTEL MARTINS
427,Pyay,MM,82.53,clear sky,18.82,95.22,Shwe Pyi Thar
430,Sitrah,BH,82.4,clear sky,26.15,50.62,Al Bander Resort - منتجع البندر
435,Basco,PH,80.28,moderate rain,20.45,121.97,Nathaniel's Lodge
437,Exu,BR,82.4,scattered clouds,-7.51,-39.72,Pousada Albuquerque
439,Sao Joao Da Barra,BR,73.58,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
441,Muli,MV,84.51,broken clouds,2.92,73.57,Medhufushi Island Resort
442,San-Pedro,CI,77.27,few clouds,4.75,-6.64,Hotel Maria
447,Cape Coast,GH,78.44,light rain,5.11,-1.25,Samrit Hotel
456,Pore,CO,72.7,moderate rain,5.73,-71.99,Casa Medica
462,Cururupu,BR,76.93,light rain,-1.83,-44.87,Pousada Través'cia
470,Carinhanha,BR,73.22,overcast clouds,-14.3,-43.77,O Carinhanha Hotel
471,Manadhoo,MV,83.97,light rain,5.77,73.38,Vevu Guesthouse
472,Porbandar,IN,84.2,clear sky,21.64,69.61,Lords Inn Porbandar
474,Nanakuli,US,82.0,clear sky,21.39,-158.15,Camp Pālehua
476,Dondo,MZ,75.2,mist,-19.61,34.74,Arco Iris
480,Goiatuba,BR,73.6,broken clouds,-18.01,-49.35,Hotel Barrocos
481,Jishou,CN,71.56,clear sky,28.32,109.72,7Days Inn Jishou Railway Station
484,Tomatlan,MX,72.3,broken clouds,19.93,-105.25,Norma franco
493,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
495,Khartoum,SD,71.01,clear sky,15.55,32.53,Hotel China
500,Axim,GH,78.17,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
502,Cap Malheureux,MU,75.99,light rain,-19.98,57.61,Pereybere Hotel & Spa
503,Manakara,MG,74.62,clear sky,-22.13,48.02,La Residence Manakara
504,Ahuimanu,US,82.0,scattered clouds,21.44,-157.84,Paradise Bay Resort
505,Sao Gabriel Da Cachoeira,BR,72.5,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
511,Ponta Pora,BR,72.48,clear sky,-22.54,-55.73,Hotel Pousada do Bosque
517,Amarante Do Maranhao,BR,72.82,clear sky,-5.57,-46.74,Hotéis Caçulinha
518,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
520,Ndjole,GA,73.71,light rain,-0.18,10.76,Motel Kedyann
523,Maun,BW,80.6,clear sky,-19.98,23.42,Enviro Villa
529,Geraldton,AU,75.2,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
533,Pochutla,MX,78.01,light rain,15.74,-96.47,Hotel Posada San Jose
539,Amahai,ID,84.34,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
543,Ixtapa,MX,79.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
547,Makakilo City,US,82.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
550,Kolondieba,ML,70.14,clear sky,11.09,-6.89,Hotel Dakan
560,Catuday,PH,81.91,light rain,16.29,119.81,GResort
562,Puerto Quijarro,BO,80.29,clear sky,-17.78,-57.77,Hotel palance
564,Pindobacu,BR,71.51,scattered clouds,-10.74,-40.36,Hotel Valmont
566,Tucuman,AR,77.0,broken clouds,-26.82,-65.22,Dallas Hotel Tucuman
572,Jacareacanga,BR,74.16,moderate rain,-6.22,-57.75,Casa do Ian😎
574,Akyab,MM,83.48,clear sky,20.15,92.9,Hotel Memory
576,Pandamatenga,BW,76.35,clear sky,-18.53,25.63,Wildtrack Safaris Eco Lodge
581,Jardim,BR,76.48,clear sky,-21.48,-56.14,Hotel Estância
582,Cabo Rojo,PR,80.01,light rain,18.09,-67.15,Hotel Perichi's
583,Manggar,ID,84.45,moderate rain,-2.88,108.27,Guest Hotel
588,Manta,EC,73.4,overcast clouds,-0.95,-80.73,Balandra Hotel
590,Hambantota,LK,84.2,few clouds,6.12,81.12,Bungalow 63
596,Luganville,VU,84.2,broken clouds,-15.53,167.17,The Espiritu Hotel
597,Bucerias,MX,79.0,clear sky,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
599,Cockburn Town,TC,79.54,moderate rain,21.46,-71.14,Osprey Beach Hotel
606,Samarai,PG,82.26,light rain,-10.62,150.67,Nuli Sapi
607,Sungaipenuh,ID,76.08,light rain,-2.08,101.38,Hotel Jaya Wisata 2
608,Vanimo,PG,84.72,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
610,Gladstone,AU,82.4,broken clouds,-23.85,151.25,Highpoint International
612,Pilar,BR,75.2,few clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
614,Kharan,PK,71.74,clear sky,28.58,65.42,Ghani Hasrat House
617,Sabang,ID,81.14,broken clouds,5.89,95.32,Hotel Citra
621,Kang,BW,76.01,clear sky,-23.68,22.79,Kang Ultra Stop
635,Manati,PR,73.99,overcast clouds,18.43,-66.49,Manati World Point Inn
636,Partur,IN,74.23,clear sky,19.6,76.22,Alfa Hotel
637,Nautla,MX,74.97,overcast clouds,20.22,-96.78,Casa Blanca
643,Moindou,NC,78.8,overcast clouds,-21.69,165.68,Gite de la RYAWA
646,Vieux-Habitants,GP,78.8,moderate rain,16.06,-61.77,Gîtes Dardanelle
648,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
650,Bowen,AU,75.2,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
651,Allahganj,IN,74.88,clear sky,27.55,79.68,Rajesh TVS Motors
652,Narasannapeta,IN,77.97,clear sky,18.42,84.05,G.lingaraju home
655,La Romana,DO,77.0,broken clouds,18.43,-68.97,Casa de Campo Resort and Villas
658,Maceio,BR,75.2,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
659,Turbat,PK,78.94,clear sky,26.0,63.04,Mubashar Quarters
661,Dhidhdhoo,MV,83.79,moderate rain,6.88,73.1,Dhidhoo beach
662,Buala,SB,84.22,light rain,-8.14,159.59,Maringe Lagoon Lodge
663,Kirakira,SB,84.27,light rain,-10.45,161.92,SanBiz Lodge
666,Tecoh,MX,75.99,scattered clouds,20.75,-89.47,Na' Lu'um Hotel
672,Kailua,US,80.6,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
673,Alta Floresta,BR,73.99,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
